id,market_id,user_id,event_type,amount,onchain_tx_hash,onchain_liquidity_id,created_at
192,29,354,remove,198.28,0x0e5fd00cc0f4,745035,2025-12-07T07:04:48.424405+00:00
240,33,65,remove,198.63,0x0f134202a44b,4868,2025-12-07T04:04:48.641717+00:00
239,33,294,add,108.53,0x0b31a4065d5d,782214,2025-12-07T03:04:48.641717+00:00
191,29,168,remove,123.38,0x03f7f60a57c4,108883,2025-12-06T17:04:48.424405+00:00
190,29,296,add,141.73,0x0c69e6088e7c,415641,2025-12-06T14:04:48.424405+00:00
238,33,262,add,474.35,0x08bb0303af6b,668549,2025-12-06T10:04:48.641717+00:00
189,29,522,add,237.34,0x025f2709fa81,846555,2025-12-06T10:04:48.424405+00:00
330,40,245,remove,158.34,0x0a69710a3655,418966,2025-12-06T09:04:49.074889+00:00
329,40,150,remove,452.15,0x07f5b10ca5d0,887611,2025-12-06T06:04:49.074889+00:00
237,33,458,add,125.97,0x0ee555054e6c,196610,2025-12-06T05:04:48.641717+00:00
168,27,367,remove,320.42,0x09b22801994c,823794,2025-12-06T02:04:48.320577+00:00
167,27,451,add,116.21,0x01ff8c0d5234,694655,2025-12-05T20:04:48.320577+00:00
188,29,93,add,193.63,0x08f25002045d,580092,2025-12-05T19:04:48.424405+00:00
236,33,63,add,170.33,0x0bedd6038953,847148,2025-12-05T15:04:48.641717+00:00
317,39,202,add,282.72,0x072abf0ed50c,904584,2025-12-05T13:04:49.000851+00:00
166,27,101,add,313.71,0x0514c20864ae,939774,2025-12-05T13:04:48.320577+00:00
235,33,377,add,235.63,0x0436a707251b,931859,2025-12-05T07:04:48.641717+00:00
328,40,104,remove,105.21,0x09e48c0e8f37,437749,2025-12-05T06:04:49.074889+00:00
327,40,386,remove,138.33,0x02faf00725c3,179308,2025-12-05T02:04:49.074889+00:00
142,25,538,add,94.79,0x09d4d10d0b2e,982571,2025-12-05T01:04:48.196615+00:00
326,40,332,remove,458.09,0x04075608a474,813828,2025-12-05T00:04:49.074889+00:00
141,25,400,remove,250.76,0x0bfc6f058f3e,662153,2025-12-05T00:04:48.196615+00:00
116,23,261,remove,274.61,0x094c24054e03,35788,2025-12-05T00:04:48.071908+00:00
115,23,400,add,457.36,0x042c3e046bdc,469242,2025-12-04T23:04:48.071908+00:00
88,21,452,remove,233.66,0x0d907a0a3981,913347,2025-12-04T22:04:47.952240+00:00
187,29,379,remove,142.5,0x091e4a0371bb,975071,2025-12-04T20:04:48.424405+00:00
87,21,266,add,154.65,0x07c82c0f3d45,272595,2025-12-04T20:04:47.952240+00:00
316,39,447,add,373.12,0x0a3861048792,297409,2025-12-04T18:04:49.000851+00:00
165,27,191,remove,73.38,0x0c1e0f0c4c0c,605024,2025-12-04T18:04:48.320577+00:00
128,24,416,add,306.22,0x08193202a4b0,164724,2025-12-04T18:04:48.139559+00:00
234,33,341,remove,491.21,0x07301f0c69b1,965172,2025-12-04T16:04:48.641717+00:00
41,17,555,remove,229.89,0x02fc0b08e4d3,596501,2025-12-04T15:04:47.764323+00:00
164,27,101,remove,446.46,0x05fb2e02b02f,545177,2025-12-04T14:04:48.320577+00:00
75,20,475,remove,87.9,0x09a8740607a3,109119,2025-12-04T10:04:47.903829+00:00
114,23,511,add,210.25,0x07983305772c,544647,2025-12-04T06:04:48.071908+00:00
40,17,506,add,463.97,0x0a021d0e7c5f,302262,2025-12-04T05:04:47.764323+00:00
101,22,248,remove,297.46,0x0a68d908fc2f,355815,2025-12-04T04:04:48.010220+00:00
