id,market_id,outcome_type,price,supply,created_at,updated_at
9,15,YES,0.492981,906.72,2025-11-30T09:04:26.816909+00:00,2025-11-30T09:04:26.816919+00:00
10,15,NO,0.507019,649.27,2025-11-30T09:04:26.819829+00:00,2025-11-30T09:04:26.819837+00:00
11,16,YES,0.504997,4293.0,2025-11-30T09:04:26.825055+00:00,2025-11-30T09:04:26.825064+00:00
12,16,NO,0.495003,2238.42,2025-11-30T09:04:26.830431+00:00,2025-11-30T09:04:26.830449+00:00
13,17,YES,0.492949,7666.8,2025-11-30T09:04:26.836592+00:00,2025-11-30T09:04:26.836603+00:00
14,17,NO,0.507051,0.0,2025-11-30T09:04:26.841092+00:00,2025-11-30T09:04:26.841101+00:00
15,18,YES,0.511497,3007.69,2025-11-30T09:04:26.855613+00:00,2025-11-30T09:04:26.855630+00:00
16,18,NO,0.488503,3647.23,2025-11-30T09:04:26.860161+00:00,2025-11-30T09:04:26.860247+00:00
17,19,YES,0.49523,3308.44,2025-11-30T09:04:26.872727+00:00,2025-11-30T09:04:26.872741+00:00
18,19,NO,0.50477,1526.82,2025-11-30T09:04:26.877318+00:00,2025-11-30T09:04:26.877333+00:00
19,20,YES,0.476343,8195.22,2025-11-30T09:04:26.889762+00:00,2025-11-30T09:04:26.889776+00:00
20,20,NO,0.523657,33.56,2025-11-30T09:04:26.894166+00:00,2025-11-30T09:04:26.894221+00:00
21,21,YES,0.490261,3550.47,2025-11-30T09:04:26.902564+00:00,2025-11-30T09:04:26.902574+00:00
22,21,NO,0.509739,3699.22,2025-11-30T09:04:26.905517+00:00,2025-11-30T09:04:26.905529+00:00
23,22,YES,0.505285,2126.73,2025-11-30T09:04:26.921074+00:00,2025-11-30T09:04:26.921084+00:00
24,22,NO,0.494715,1008.73,2025-11-30T09:04:26.923935+00:00,2025-11-30T09:04:26.923943+00:00
25,23,YES,0.503533,6677.03,2025-11-30T09:04:26.931577+00:00,2025-11-30T09:04:26.931594+00:00
26,23,NO,0.496467,2030.51,2025-11-30T09:04:26.935996+00:00,2025-11-30T09:04:26.936005+00:00
27,24,YES,0.503711,6850.86,2025-11-30T09:04:26.941249+00:00,2025-11-30T09:04:26.941257+00:00
28,24,NO,0.496289,33.59,2025-11-30T09:04:26.943650+00:00,2025-11-30T09:04:26.943659+00:00
29,25,YES,0.521758,1622.04,2025-11-30T09:04:26.952306+00:00,2025-11-30T09:04:26.952344+00:00
30,25,NO,0.478242,1145.76,2025-11-30T09:04:26.955429+00:00,2025-11-30T09:04:26.955439+00:00
31,26,YES,0.509069,365.95,2025-11-30T09:04:26.963039+00:00,2025-11-30T09:04:26.963050+00:00
32,26,NO,0.490931,818.46,2025-11-30T09:04:26.966214+00:00,2025-11-30T09:04:26.966224+00:00
33,27,YES,0.471946,5250.56,2025-11-30T09:04:26.971192+00:00,2025-11-30T09:04:26.971201+00:00
34,27,NO,0.528054,4777.13,2025-11-30T09:04:26.973254+00:00,2025-11-30T09:04:26.973261+00:00
35,28,YES,0.48109,1755.78,2025-11-30T09:04:26.978187+00:00,2025-11-30T09:04:26.978196+00:00
36,28,NO,0.51891,2047.96,2025-11-30T09:04:26.982572+00:00,2025-11-30T09:04:26.982582+00:00
37,29,YES,0.485111,3768.19,2025-11-30T09:04:26.987223+00:00,2025-11-30T09:04:26.987231+00:00
38,29,NO,0.514889,3061.64,2025-11-30T09:04:26.990120+00:00,2025-11-30T09:04:26.990129+00:00
39,30,YES,0.507534,1393.78,2025-11-30T09:04:26.997195+00:00,2025-11-30T09:04:26.997205+00:00
40,30,NO,0.492466,1527.45,2025-11-30T09:04:26.999974+00:00,2025-11-30T09:04:26.999984+00:00
41,31,YES,0.507812,149.6,2025-11-30T09:04:27.005073+00:00,2025-11-30T09:04:27.005081+00:00
42,31,NO,0.492188,1341.33,2025-11-30T09:04:27.007282+00:00,2025-11-30T09:04:27.007289+00:00
