user_id,role,wallet_age_days,total_trades,avg_trade_value,failed_login_count,risk_score,label
42,TRADER,0,0,0.0,0,0.1,0
29,TRADER,0,4,259.9675,0,0.1,0
4,TRADER,0,45,23744.744222222223,0,0.1,0
34,TRADER,0,0,0.0,0,0.1,0
41,TRADER,0,0,0.0,0,0.1,0
40,TRADER,0,0,0.0,0,0.1,0
46,TRADER,0,0,0.0,0,0.1,0
43,TRADER,0,0,0.0,0,0.1,0
32,TRADER,0,0,0.0,0,0.1,0
10,TRADER,0,40,29422.24525,0,0.1,0
9,TRADER,0,32,22771.77625,0,0.1,0
7,TRADER,0,23,28910.394782608695,0,0.1,0
35,TRADER,0,0,0.0,0,0.1,0
45,TRADER,0,0,0.0,0,0.1,0
38,TRADER,0,0,0.0,0,0.1,0
15,TRADER,0,3,242.96666666666667,0,0.1,0
6,TRADER,0,11,24480.515454545453,0,0.1,0
48,TRADER,0,0,0.0,0,0.1,0
26,TRADER,0,4,232.615,0,0.1,0
12,TRADER,0,9,279.5111111111111,0,0.1,0
39,TRADER,0,0,0.0,0,0.1,0
24,TRADER,0,3,220.33,0,0.1,0
19,TRADER,0,4,200.935,0,0.1,0
36,TRADER,0,0,0.0,0,0.1,0
25,TRADER,0,8,220.195,0,0.1,0
31,TRADER,0,0,0.0,0,0.1,0
30,TRADER,0,7,272.0957142857143,0,0.1,0
50,TRADER,0,0,0.0,0,0.1,0
21,TRADER,0,2,241.515,0,0.1,0
49,TRADER,0,0,0.0,0,0.1,0
47,TRADER,0,0,0.0,0,0.1,0
14,TRADER,0,3,225.02,0,0.1,0
3,TRADER,0,13,22472.963076923075,0,0.1,0
17,TRADER,0,1,298.46,0,0.1,0
37,TRADER,0,0,0.0,0,0.1,0
28,TRADER,0,6,268.9166666666667,0,0.1,0
22,TRADER,0,5,337.996,0,0.1,0
20,TRADER,0,1,72.53,0,0.1,0
33,TRADER,0,0,0.0,0,0.1,0
13,TRADER,0,5,269.064,0,0.1,0
1,TRADER,0,47,22588.71893617021,0,0.1,0
5,TRADER,0,23,23108.981739130435,0,0.1,0
18,TRADER,0,10,314.736,0,0.1,0
2,TRADER,0,45,25489.06511111111,0,0.1,0
16,TRADER,0,2,335.36,0,0.1,0
27,TRADER,0,3,225.74666666666667,0,0.1,0
23,TRADER,0,8,218.8975,0,0.1,0
44,TRADER,0,0,0.0,0,0.1,0
11,TRADER,0,7,242.78142857142856,0,0.1,0
8,TRADER,0,49,28120.430612244898,0,0.1,0
999900,BLOCKED,9,184,7267.468389002661,10,0.99,1
999901,BLOCKED,11,97,6016.563779591874,9,0.99,1
999902,BLOCKED,28,194,5094.031927086161,4,0.99,1
999903,BLOCKED,20,93,5710.709003722681,10,0.99,1
999904,BLOCKED,18,119,8167.8602265101645,10,0.99,1
999905,BLOCKED,10,172,9279.940789375785,5,0.99,1
999906,BLOCKED,4,196,9781.993040961439,5,0.99,1
999907,BLOCKED,18,93,8805.11752751802,5,0.99,1
999908,BLOCKED,5,159,9062.176604893592,10,0.99,1
999909,BLOCKED,2,107,9854.405709925693,7,0.99,1
999910,BLOCKED,27,90,5511.240383280736,8,0.99,1
999911,BLOCKED,7,51,6450.661647261537,6,0.99,1
999912,BLOCKED,5,131,5407.788095430635,6,0.99,1
999913,BLOCKED,19,86,9954.627551803595,7,0.99,1
999914,BLOCKED,14,117,5735.499086363326,4,0.99,1
999915,BLOCKED,29,50,8646.536255269624,8,0.99,1
999916,BLOCKED,25,166,8182.07326367245,10,0.99,1
999917,BLOCKED,17,131,6178.07649013333,5,0.99,1
999918,BLOCKED,1,81,8311.919402249785,10,0.99,1
999919,BLOCKED,9,190,7267.013858619374,7,0.99,1
999920,BLOCKED,4,136,5899.23408168478,4,0.99,1
999921,BLOCKED,19,119,7038.0640694362555,5,0.99,1
999922,BLOCKED,29,74,6988.47168112413,5,0.99,1
999923,BLOCKED,19,186,6617.045746845444,8,0.99,1
999924,BLOCKED,19,157,5272.240305019164,9,0.99,1
999925,BLOCKED,14,164,7308.769935607495,7,0.99,1
999926,BLOCKED,21,121,7431.932373268771,5,0.99,1
999927,BLOCKED,9,89,8488.902141769318,3,0.99,1
999928,BLOCKED,21,177,9685.29823126705,10,0.99,1
999929,BLOCKED,1,74,9626.203780523381,8,0.99,1
999930,BLOCKED,6,86,5183.488716869147,7,0.99,1
999931,BLOCKED,24,137,6292.352337176045,10,0.99,1
999932,BLOCKED,17,160,7621.437235962628,3,0.99,1
999933,BLOCKED,7,56,8328.432076515666,4,0.99,1
999934,BLOCKED,12,54,7741.170906007951,8,0.99,1
999935,BLOCKED,20,115,5844.543599866102,10,0.99,1
999936,BLOCKED,3,144,8034.981593217779,5,0.99,1
999937,BLOCKED,3,76,7861.453659030945,9,0.99,1
999938,BLOCKED,13,157,9320.236687567518,6,0.99,1
999939,BLOCKED,22,73,8948.478793013015,10,0.99,1
999940,BLOCKED,3,126,6476.755367060455,8,0.99,1
999941,BLOCKED,11,138,7119.762040455695,3,0.99,1
999942,BLOCKED,11,67,9670.876158180443,5,0.99,1
999943,BLOCKED,24,76,6610.004254452406,9,0.99,1
999944,BLOCKED,14,172,8989.758611053674,9,0.99,1
999945,BLOCKED,15,188,5976.792626360956,7,0.99,1
999946,BLOCKED,25,61,9892.517014712848,10,0.99,1
999947,BLOCKED,16,145,6619.748210660888,6,0.99,1
999948,BLOCKED,25,85,9018.579023223065,9,0.99,1
999949,BLOCKED,17,83,6771.076499482313,3,0.99,1
