id,onchain_tx_id,event_name,tx_hash,log_index,market_id,user_address,payload_json,processed_at,duplicate,created_at
4,4,LiquidityAdded,0x01efcd068466,0,25,0x0af49b,"{""amount"": 70.53581588333847, ""outcome"": null}",2025-11-30T09:04:54.214557+00:00,False,2025-11-30T09:04:54.214865+00:00
5,5,LiquidityAdded,0x02e99805fd1d,0,,0x05f1a8,"{""amount"": 29.907466807306506, ""outcome"": null}",2025-11-30T09:04:54.220916+00:00,False,2025-11-30T09:04:54.221099+00:00
6,6,LiquidityAdded,0x06cf1f0b7f11,0,29,0x09c1c4,"{""amount"": 97.21227054639341, ""outcome"": null}",2025-11-30T09:04:54.225868+00:00,False,2025-11-30T09:04:54.226124+00:00
7,6,TradeExecuted,0x06cf1f0b7f11,1,,0x06cfa4,"{""amount"": 72.66152432039583, ""outcome"": ""YES""}",2025-11-30T09:04:54.230514+00:00,False,2025-11-30T09:04:54.230750+00:00
8,6,MarketResolved,0x06cf1f0b7f11,2,,0x025e35,"{""amount"": 74.67625610917193, ""outcome"": null}",2025-11-30T09:04:54.233315+00:00,False,2025-11-30T09:04:54.233488+00:00
9,7,LiquidityRemoved,0x090449023a1c,0,44,0x0dc5c2,"{""amount"": 97.93681393695508, ""outcome"": null}",2025-11-30T09:04:54.241315+00:00,False,2025-11-30T09:04:54.241493+00:00
10,7,LiquidityRemoved,0x090449023a1c,1,26,0x031fa0,"{""amount"": 74.04338402459032, ""outcome"": null}",2025-11-30T09:04:54.243939+00:00,False,2025-11-30T09:04:54.244157+00:00
11,8,LiquidityAdded,0x0def41081928,0,17,0x069a6a,"{""amount"": 81.15711621161054, ""outcome"": null}",2025-11-30T09:04:54.251284+00:00,False,2025-11-30T09:04:54.251433+00:00
12,8,LiquidityAdded,0x0def41081928,1,21,0x074f0c,"{""amount"": 42.99829625530403, ""outcome"": null}",2025-11-30T09:04:54.253041+00:00,False,2025-11-30T09:04:54.253151+00:00
13,9,MarketResolved,0x082a3a06f6c1,0,36,0x019f69,"{""amount"": 89.063263490207, ""outcome"": null}",2025-11-30T09:04:54.258537+00:00,False,2025-11-30T09:04:54.258706+00:00
14,10,TradeExecuted,0x04935d0b1dac,0,26,0x06a1d7,"{""amount"": 41.58056800323186, ""outcome"": ""NO""}",2025-11-30T09:04:54.266780+00:00,False,2025-11-30T09:04:54.266966+00:00
15,10,TradeExecuted,0x04935d0b1dac,1,30,0x031512,"{""amount"": 72.12943157021975, ""outcome"": ""YES""}",2025-11-30T09:04:54.270033+00:00,False,2025-11-30T09:04:54.270180+00:00
16,11,TradeExecuted,0x0a403b03a9a3,0,24,0x0217bd,"{""amount"": 59.614320147037596, ""outcome"": ""YES""}",2025-11-30T09:04:54.274197+00:00,False,2025-11-30T09:04:54.274307+00:00
17,12,LiquidityAdded,0x0e81500d9a39,0,19,0x0c7742,"{""amount"": 91.04753321568111, ""outcome"": null}",2025-11-30T09:04:54.281928+00:00,False,2025-11-30T09:04:54.282176+00:00
19,12,TradeExecuted,0x0e81500d9a39,2,33,0x08fe6b,"{""amount"": 44.84083673546047, ""outcome"": ""NO""}",2025-11-30T09:04:54.286063+00:00,False,2025-11-30T09:04:54.286210+00:00
20,13,LiquidityRemoved,0x0342690c52c1,0,31,0x069658,"{""amount"": 4.661733171612301, ""outcome"": null}",2025-11-30T09:04:54.290346+00:00,False,2025-11-30T09:04:54.290465+00:00
21,14,MarketResolved,0x0742e40785f9,0,26,0x0407e0,"{""amount"": 20.510152092994726, ""outcome"": null}",2025-11-30T09:04:54.297264+00:00,False,2025-11-30T09:04:54.297684+00:00
22,14,TradeExecuted,0x0742e40785f9,1,,0x0ee415,"{""amount"": 21.633520860475212, ""outcome"": ""NO""}",2025-11-30T09:04:54.301513+00:00,False,2025-11-30T09:04:54.301684+00:00
23,14,TradeExecuted,0x0742e40785f9,2,22,0x04335d,"{""amount"": 57.34031286507473, ""outcome"": ""YES""}",2025-11-30T09:04:54.303731+00:00,False,2025-11-30T09:04:54.303877+00:00
24,15,LiquidityAdded,0x06b9e2046f70,0,,0x0b5b9e,"{""amount"": 24.34380834352112, ""outcome"": null}",2025-11-30T09:04:54.309720+00:00,False,2025-11-30T09:04:54.310159+00:00
25,16,MarketResolved,0x0633370caf3f,0,44,0x03f182,"{""amount"": 14.76687570130617, ""outcome"": null}",2025-11-30T09:04:54.317767+00:00,False,2025-11-30T09:04:54.317927+00:00
26,16,LiquidityAdded,0x0633370caf3f,1,,0x0d934b,"{""amount"": 98.91589504260752, ""outcome"": null}",2025-11-30T09:04:54.319327+00:00,False,2025-11-30T09:04:54.319465+00:00
27,16,TradeExecuted,0x0633370caf3f,2,32,0x0a2c53,"{""amount"": 89.08556077585727, ""outcome"": ""YES""}",2025-11-30T09:04:54.320901+00:00,False,2025-11-30T09:04:54.321018+00:00
28,17,LiquidityRemoved,synthetic_market_13,0,26,0x0b24f9,"{""amount"": 78.99065809503058, ""outcome"": null}",2025-11-30T09:04:54.324805+00:00,False,2025-11-30T09:04:54.324957+00:00
29,18,LiquidityRemoved,0x0affdb0c9361,0,,0x0ce644,"{""amount"": 27.762839986735496, ""outcome"": null}",2025-11-30T09:04:54.332928+00:00,False,2025-11-30T09:04:54.333312+00:00
30,18,TradeExecuted,0x0affdb0c9361,1,38,0x0316ce,"{""amount"": 30.828325464299535, ""outcome"": ""NO""}",2025-11-30T09:04:54.335194+00:00,False,2025-11-30T09:04:54.335406+00:00
31,19,LiquidityRemoved,0x0438ea06c50e,0,32,0x0b0231,"{""amount"": 16.457662879773906, ""outcome"": null}",2025-11-30T09:04:54.339139+00:00,False,2025-11-30T09:04:54.339276+00:00
32,19,TradeExecuted,0x0438ea06c50e,1,24,0x05b829,"{""amount"": 49.72251578118718, ""outcome"": ""YES""}",2025-11-30T09:04:54.340569+00:00,False,2025-11-30T09:04:54.340689+00:00
33,19,LiquidityRemoved,0x0438ea06c50e,2,36,0x0d271b,"{""amount"": 33.87863443886087, ""outcome"": null}",2025-11-30T09:04:54.341762+00:00,False,2025-11-30T09:04:54.341879+00:00
34,20,MarketResolved,0x04ee7f05fbfd,0,35,0x0a42d6,"{""amount"": 58.374170384118806, ""outcome"": null}",2025-11-30T09:04:54.348548+00:00,False,2025-11-30T09:04:54.348731+00:00
36,21,LiquidityRemoved,synthetic_market_14,0,24,0x02d838,"{""amount"": 69.60574747913009, ""outcome"": null}",2025-11-30T09:04:54.356384+00:00,False,2025-11-30T09:04:54.356607+00:00
37,22,LiquidityRemoved,0x0ccffd05e692,0,43,0x02b185,"{""amount"": 35.47987845149854, ""outcome"": null}",2025-11-30T09:04:54.361839+00:00,False,2025-11-30T09:04:54.362072+00:00
38,22,MarketResolved,0x0ccffd05e692,1,40,0x0834b6,"{""amount"": 25.235754638474035, ""outcome"": null}",2025-11-30T09:04:54.364089+00:00,False,2025-11-30T09:04:54.364265+00:00
