id,market_id,user_id,bond_amount,status,reason,created_at,resolved_at
263,36,496,26.79,pending,Market manipulation,2025-12-29T16:59:35.012215+00:00,
247,36,537,36.09,rejected,Incorrect outcome,2025-12-29T16:58:04.012215+00:00,2025-12-30T14:58:04.012215+00:00
265,36,202,17.65,rejected,Suspicious resolution,2025-12-29T16:57:34.012215+00:00,2025-12-30T00:57:34.012215+00:00
268,36,188,10.32,rejected,Incorrect outcome,2025-12-29T16:57:20.012215+00:00,2025-12-30T06:57:20.012215+00:00
233,36,359,22.06,pending,Unfair resolution,2025-12-29T16:56:12.012215+00:00,
284,36,232,44.36,rejected,Incorrect outcome,2025-12-29T16:55:35.012215+00:00,2025-12-31T13:55:35.012215+00:00
234,36,372,32.47,rejected,Market manipulation,2025-12-29T16:53:59.012215+00:00,2025-12-30T14:53:59.012215+00:00
225,36,421,19.34,rejected,Suspicious resolution,2025-12-29T16:53:48.012215+00:00,2025-12-29T22:53:48.012215+00:00
228,36,316,26.29,rejected,Unfair resolution,2025-12-29T16:49:36.012215+00:00,2025-12-31T03:49:36.012215+00:00
252,36,503,14.06,accepted,Market manipulation,2025-12-29T16:49:15.012215+00:00,2025-12-30T16:49:15.012215+00:00
269,36,83,18.84,pending,Suspicious resolution,2025-12-29T16:47:19.012215+00:00,
257,36,438,17.94,pending,Price manipulation detected,2025-12-29T16:47:19.012215+00:00,
245,36,297,36.73,accepted,Suspicious resolution,2025-12-29T16:47:09.012215+00:00,2025-12-30T23:47:09.012215+00:00
224,36,457,32.19,rejected,Incorrect outcome,2025-12-29T16:46:53.012215+00:00,2025-12-31T04:46:53.012215+00:00
264,36,407,21.93,pending,Price manipulation detected,2025-12-29T16:46:21.012215+00:00,
261,36,57,32.4,rejected,Price manipulation detected,2025-12-29T16:46:17.012215+00:00,2025-12-30T09:46:17.012215+00:00
283,36,439,30.16,pending,Incorrect outcome,2025-12-29T16:45:40.012215+00:00,
273,36,108,32.25,rejected,Price manipulation detected,2025-12-29T16:45:30.012215+00:00,2025-12-31T09:45:30.012215+00:00
232,36,195,7.77,accepted,Suspicious resolution,2025-12-29T16:44:46.012215+00:00,2025-12-31T09:44:46.012215+00:00
229,36,478,11.64,accepted,Market manipulation,2025-12-29T16:44:20.012215+00:00,2025-12-29T19:44:20.012215+00:00
244,36,132,5.69,pending,Market manipulation,2025-12-29T16:43:31.012215+00:00,
226,36,241,11.17,rejected,Incorrect outcome,2025-12-29T16:43:12.012215+00:00,2025-12-30T12:43:12.012215+00:00
253,36,128,45.01,rejected,Incorrect outcome,2025-12-29T16:42:27.012215+00:00,2025-12-30T19:42:27.012215+00:00
227,36,155,16.07,accepted,Price manipulation detected,2025-12-29T16:42:13.012215+00:00,2025-12-29T23:42:13.012215+00:00
274,36,545,7.39,accepted,Market manipulation,2025-12-29T16:41:14.012215+00:00,2025-12-31T05:41:14.012215+00:00
256,36,291,10.5,rejected,Price manipulation detected,2025-12-29T16:41:06.012215+00:00,2025-12-31T13:41:06.012215+00:00
248,36,135,15.39,rejected,Incorrect outcome,2025-12-29T16:40:11.012215+00:00,2025-12-31T01:40:11.012215+00:00
270,36,327,43.5,accepted,Unfair resolution,2025-12-29T16:38:55.012215+00:00,2025-12-29T23:38:55.012215+00:00
259,36,94,44.04,accepted,Market manipulation,2025-12-29T16:38:50.012215+00:00,2025-12-30T16:38:50.012215+00:00
241,36,288,23.66,accepted,Suspicious resolution,2025-12-29T16:38:28.012215+00:00,2025-12-31T11:38:28.012215+00:00
276,36,177,9.41,accepted,Market manipulation,2025-12-29T16:34:47.012215+00:00,2025-12-30T04:34:47.012215+00:00
279,36,555,39.87,rejected,Incorrect outcome,2025-12-29T16:34:37.012215+00:00,2025-12-31T06:34:37.012215+00:00
242,36,294,41.48,pending,Suspicious resolution,2025-12-29T16:33:44.012215+00:00,
243,36,554,19.84,pending,Incorrect outcome,2025-12-29T16:32:32.012215+00:00,
235,36,463,45.16,pending,Price manipulation detected,2025-12-29T16:31:42.012215+00:00,
249,36,318,30.55,accepted,Incorrect outcome,2025-12-29T16:31:36.012215+00:00,2025-12-31T03:31:36.012215+00:00
236,36,68,24.34,accepted,Unfair resolution,2025-12-29T16:29:51.012215+00:00,2025-12-31T14:29:51.012215+00:00
230,36,506,26.01,pending,Suspicious resolution,2025-12-29T16:29:28.012215+00:00,
258,36,552,6.05,accepted,Market manipulation,2025-12-29T16:27:06.012215+00:00,2025-12-30T04:27:06.012215+00:00
275,36,299,16.61,rejected,Price manipulation detected,2025-12-29T16:26:58.012215+00:00,2025-12-29T17:26:58.012215+00:00
266,36,249,11.82,accepted,Price manipulation detected,2025-12-29T16:26:56.012215+00:00,2025-12-30T00:26:56.012215+00:00
271,36,364,28.6,rejected,Unfair resolution,2025-12-29T16:26:26.012215+00:00,2025-12-30T15:26:26.012215+00:00
237,36,324,30.74,rejected,Incorrect outcome,2025-12-29T16:25:09.012215+00:00,2025-12-31T14:25:09.012215+00:00
267,36,529,41.01,pending,Market manipulation,2025-12-29T16:24:39.012215+00:00,
255,36,556,42.1,pending,Price manipulation detected,2025-12-29T16:24:21.012215+00:00,
221,36,530,46.03,pending,Market manipulation,2025-12-29T16:23:48.012215+00:00,
251,36,374,32.56,rejected,Market manipulation,2025-12-29T16:22:35.012215+00:00,2025-12-30T17:22:35.012215+00:00
246,36,371,28.22,accepted,Market manipulation,2025-12-29T16:22:15.012215+00:00,2025-12-30T09:22:15.012215+00:00
254,36,311,35.89,pending,Market manipulation,2025-12-29T16:21:53.012215+00:00,
278,36,317,20.81,accepted,Suspicious resolution,2025-12-29T16:20:12.012215+00:00,2025-12-30T12:20:12.012215+00:00
262,36,542,29.79,accepted,Unfair resolution,2025-12-29T16:19:35.012215+00:00,2025-12-30T08:19:35.012215+00:00
231,36,504,33.95,rejected,Incorrect outcome,2025-12-29T16:19:28.012215+00:00,2025-12-30T05:19:28.012215+00:00
282,36,287,5.14,accepted,Market manipulation,2025-12-29T16:19:01.012215+00:00,2025-12-31T12:19:01.012215+00:00
239,36,498,22.8,pending,Suspicious resolution,2025-12-29T16:16:35.012215+00:00,
223,36,337,28.28,rejected,Unfair resolution,2025-12-29T16:15:22.012215+00:00,2025-12-31T12:15:22.012215+00:00
281,36,229,13.39,pending,Price manipulation detected,2025-12-29T16:14:59.012215+00:00,
285,36,133,14.41,accepted,Suspicious resolution,2025-12-29T16:13:35.012215+00:00,2025-12-30T09:13:35.012215+00:00
280,36,325,36.79,accepted,Unfair resolution,2025-12-29T16:11:31.012215+00:00,2025-12-29T17:11:31.012215+00:00
222,36,278,34.19,pending,Suspicious resolution,2025-12-29T16:11:25.012215+00:00,
260,36,209,21.03,accepted,Unfair resolution,2025-12-29T16:08:16.012215+00:00,2025-12-30T17:08:16.012215+00:00
238,36,433,13.11,accepted,Unfair resolution,2025-12-29T16:06:35.012215+00:00,2025-12-31T06:06:35.012215+00:00
277,36,113,45.33,pending,Price manipulation detected,2025-12-29T16:06:00.012215+00:00,
250,36,69,5.23,pending,Price manipulation detected,2025-12-29T16:04:51.012215+00:00,
240,36,436,29.17,accepted,Incorrect outcome,2025-12-29T16:04:37.012215+00:00,2025-12-30T11:04:37.012215+00:00
286,36,510,23.37,rejected,Incorrect outcome,2025-12-29T16:04:29.012215+00:00,2025-12-31T13:04:29.012215+00:00
287,36,243,43.78,pending,Incorrect outcome,2025-12-29T16:04:17.012215+00:00,
272,36,334,12.74,accepted,Market manipulation,2025-12-29T16:04:00.012215+00:00,2025-12-31T08:04:00.012215+00:00
118,15,124,13.78,rejected,Market manipulation,2025-12-25T23:54:18.962763+00:00,2025-12-26T02:54:18.962763+00:00
119,15,446,36.39,accepted,Price manipulation detected,2025-12-25T23:53:45.962763+00:00,2025-12-26T03:53:45.962763+00:00
139,15,206,38.13,rejected,Incorrect outcome,2025-12-25T23:53:29.962763+00:00,2025-12-26T16:53:29.962763+00:00
