id,title,description,category_id,status,resolution_outcome,liquidity_pool,fee_percentage,onchain_market_id,onchain_tx_hash,created_by,created_at,ends_at
44,Synthetic Market 29,Synthetic market for ML testing,5,active,,5236.21,0.02,,synthetic_market_29,57,2025-11-30T09:03:51.028781+00:00,2025-12-28T09:03:51.028482+00:00
43,Synthetic Market 28,Synthetic market for ML testing,5,active,,8849.5,0.02,,synthetic_market_28,57,2025-11-30T09:03:51.026152+00:00,2025-12-13T09:03:51.025991+00:00
42,Synthetic Market 27,Synthetic market for ML testing,5,active,,7311.5,0.02,,synthetic_market_27,57,2025-11-30T09:03:51.024377+00:00,2025-12-26T09:03:51.024147+00:00
41,Synthetic Market 26,Synthetic market for ML testing,5,active,,3401.25,0.02,,synthetic_market_26,57,2025-11-30T09:03:51.022876+00:00,2025-12-08T09:03:51.022691+00:00
40,Synthetic Market 25,Synthetic market for ML testing,5,active,,7615.52,0.02,,synthetic_market_25,57,2025-11-30T09:03:51.019957+00:00,2025-12-28T09:03:51.019568+00:00
39,Synthetic Market 24,Synthetic market for ML testing,5,active,,8220.12,0.02,,synthetic_market_24,57,2025-11-30T09:03:51.016406+00:00,2025-12-14T09:03:51.016193+00:00
38,Synthetic Market 23,Synthetic market for ML testing,5,active,,8041.48,0.02,,synthetic_market_23,57,2025-11-30T09:03:51.014886+00:00,2025-12-11T09:03:51.014776+00:00
37,Synthetic Market 22,Synthetic market for ML testing,5,active,,7629.08,0.02,,synthetic_market_22,57,2025-11-30T09:03:51.013532+00:00,2025-12-06T09:03:51.013420+00:00
36,Synthetic Market 21,Synthetic market for ML testing,5,active,,4710.65,0.02,,synthetic_market_21,57,2025-11-30T09:03:51.012337+00:00,2025-12-29T09:03:51.012215+00:00
35,Synthetic Market 20,Synthetic market for ML testing,5,active,,8296.95,0.02,,synthetic_market_20,57,2025-11-30T09:03:51.011008+00:00,2025-12-26T09:03:51.010876+00:00
34,Synthetic Market 19,Synthetic market for ML testing,5,active,,2462.52,0.02,,synthetic_market_19,57,2025-11-30T09:03:51.009367+00:00,2025-12-28T09:03:51.009218+00:00
33,Synthetic Market 18,Synthetic market for ML testing,5,active,,9368.93,0.02,,synthetic_market_18,57,2025-11-30T09:03:51.007808+00:00,2025-12-30T09:03:51.007615+00:00
32,Synthetic Market 17,Synthetic market for ML testing,5,active,,7745.3,0.02,,synthetic_market_17,57,2025-11-30T09:03:51.004652+00:00,2025-12-20T09:03:51.004370+00:00
31,Synthetic Market 16,Synthetic market for ML testing,5,active,,4657.4,0.02,,synthetic_market_16,57,2025-11-30T09:03:51.000684+00:00,2025-12-28T09:03:51.000477+00:00
30,Synthetic Market 15,Synthetic market for ML testing,5,active,,6038.95,0.02,,synthetic_market_15,57,2025-11-30T09:03:50.998661+00:00,2025-12-25T09:03:50.998463+00:00
29,Synthetic Market 14,Synthetic market for ML testing,5,active,,1925.14,0.02,,synthetic_market_14,57,2025-11-30T09:03:50.995972+00:00,2025-12-22T09:03:50.995760+00:00
28,Synthetic Market 13,Synthetic market for ML testing,5,active,,7138.6,0.02,,synthetic_market_13,57,2025-11-30T09:03:50.992178+00:00,2025-12-07T09:03:50.991983+00:00
27,Synthetic Market 12,Synthetic market for ML testing,5,active,,9090.32,0.02,,synthetic_market_12,57,2025-11-30T09:03:50.990239+00:00,2025-12-02T09:03:50.990050+00:00
26,Synthetic Market 11,Synthetic market for ML testing,5,active,,9749.77,0.02,,synthetic_market_11,57,2025-11-30T09:03:50.988607+00:00,2025-12-26T09:03:50.988429+00:00
25,Synthetic Market 10,Synthetic market for ML testing,5,active,,9090.83,0.02,,synthetic_market_10,57,2025-11-30T09:03:50.986933+00:00,2025-12-12T09:03:50.986740+00:00
24,Synthetic Market 9,Synthetic market for ML testing,5,active,,1376.46,0.02,,synthetic_market_9,57,2025-11-30T09:03:50.984316+00:00,2025-12-05T09:03:50.983969+00:00
23,Synthetic Market 8,Synthetic market for ML testing,5,active,,2332.84,0.02,,synthetic_market_8,57,2025-11-30T09:03:50.982175+00:00,2025-12-18T09:03:50.982031+00:00
22,Synthetic Market 7,Synthetic market for ML testing,5,active,,4322.94,0.02,,synthetic_market_7,57,2025-11-30T09:03:50.980503+00:00,2025-12-27T09:03:50.980328+00:00
21,Synthetic Market 6,Synthetic market for ML testing,5,active,,5910.31,0.02,,synthetic_market_6,57,2025-11-30T09:03:50.978926+00:00,2025-12-05T09:03:50.978744+00:00
20,Synthetic Market 5,Synthetic market for ML testing,5,active,,7219.18,0.02,,synthetic_market_5,57,2025-11-30T09:03:50.976742+00:00,2025-12-29T09:03:50.976551+00:00
19,Synthetic Market 4,Synthetic market for ML testing,5,active,,1677.19,0.02,,synthetic_market_4,57,2025-11-30T09:03:50.974899+00:00,2025-12-04T09:03:50.974740+00:00
18,Synthetic Market 3,Synthetic market for ML testing,5,active,,6048.16,0.02,,synthetic_market_3,57,2025-11-30T09:03:50.973157+00:00,2025-12-14T09:03:50.972973+00:00
17,Synthetic Market 2,Synthetic market for ML testing,5,active,,5965.12,0.02,,synthetic_market_2,57,2025-11-30T09:03:50.971351+00:00,2025-12-15T09:03:50.971088+00:00
16,Synthetic Market 1,Synthetic market for ML testing,5,active,,2454.24,0.02,,synthetic_market_1,57,2025-11-30T09:03:50.966474+00:00,2025-12-09T09:03:50.965992+00:00
15,Synthetic Market 0,Synthetic market for ML testing,5,active,,2177.38,0.02,,synthetic_market_0,57,2025-11-30T09:03:50.963089+00:00,2025-12-25T09:03:50.962763+00:00
