id,tx_hash,network,block_number,status,error_message,created_at,updated_at
4,0x01efcd068466,testnet,5166452,SUCCESS,,2025-11-30T09:04:54.210846+00:00,2025-11-30T09:04:54.210858+00:00
5,0x02e99805fd1d,testnet,5922610,SUCCESS,,2025-11-30T09:04:54.218661+00:00,2025-11-30T09:04:54.218674+00:00
6,0x06cf1f0b7f11,testnet,4611427,SUCCESS,,2025-11-30T09:04:54.223723+00:00,2025-11-30T09:04:54.223732+00:00
8,0x0def41081928,testnet,1734136,SUCCESS,,2025-11-30T09:04:54.249307+00:00,2025-11-30T09:04:54.249316+00:00
9,0x082a3a06f6c1,testnet,5789298,SUCCESS,,2025-11-30T09:04:54.255390+00:00,2025-11-30T09:04:54.255397+00:00
10,0x04935d0b1dac,testnet,6060739,SUCCESS,,2025-11-30T09:04:54.262993+00:00,2025-11-30T09:04:54.263003+00:00
13,0x0342690c52c1,testnet,3210748,SUCCESS,,2025-11-30T09:04:54.288702+00:00,2025-11-30T09:04:54.288710+00:00
14,0x0742e40785f9,testnet,1493395,SUCCESS,,2025-11-30T09:04:54.292565+00:00,2025-11-30T09:04:54.292572+00:00
15,0x06b9e2046f70,testnet,2736432,SUCCESS,,2025-11-30T09:04:54.306293+00:00,2025-11-30T09:04:54.306302+00:00
16,0x0633370caf3f,testnet,2781505,SUCCESS,,2025-11-30T09:04:54.314456+00:00,2025-11-30T09:04:54.314485+00:00
17,synthetic_market_13,testnet,6763891,SUCCESS,,2025-11-30T09:04:54.323157+00:00,2025-11-30T09:04:54.323164+00:00
18,0x0affdb0c9361,testnet,4800850,SUCCESS,,2025-11-30T09:04:54.329482+00:00,2025-11-30T09:04:54.329497+00:00
21,synthetic_market_14,testnet,1499701,SUCCESS,,2025-11-30T09:04:54.354508+00:00,2025-11-30T09:04:54.354517+00:00
22,0x0ccffd05e692,testnet,6467716,SUCCESS,,2025-11-30T09:04:54.358808+00:00,2025-11-30T09:04:54.358815+00:00
24,0x0a06240a77fb,testnet,9607815,SUCCESS,,2025-11-30T09:04:54.374303+00:00,2025-11-30T09:04:54.374310+00:00
27,0x037afd0f182b,testnet,7939005,SUCCESS,,2025-11-30T09:04:54.391952+00:00,2025-11-30T09:04:54.391958+00:00
29,0x0d70c9024f82,testnet,4466275,SUCCESS,,2025-11-30T09:04:54.403897+00:00,2025-11-30T09:04:54.403905+00:00
30,0x08921e031f0b,testnet,2571492,SUCCESS,,2025-11-30T09:04:54.411292+00:00,2025-11-30T09:04:54.411301+00:00
31,0x0e5b560729bb,testnet,1546013,SUCCESS,,2025-11-30T09:04:54.415558+00:00,2025-11-30T09:04:54.415566+00:00
32,0x0a1c6c0380d8,testnet,1300072,SUCCESS,,2025-11-30T09:04:54.419692+00:00,2025-11-30T09:04:54.419700+00:00
34,0x0cb8bb07f74c,testnet,5914526,SUCCESS,,2025-11-30T09:04:54.431408+00:00,2025-11-30T09:04:54.431418+00:00
35,0x0be2f606fc4e,testnet,8345554,SUCCESS,,2025-11-30T09:04:54.439365+00:00,2025-11-30T09:04:54.439372+00:00
37,0x0f06420a1af6,testnet,2447302,SUCCESS,,2025-11-30T09:04:54.449592+00:00,2025-11-30T09:04:54.449613+00:00
39,0x0b98d50c8254,testnet,8381355,SUCCESS,,2025-11-30T09:04:54.468625+00:00,2025-11-30T09:04:54.468635+00:00
40,0x0d94db07c402,testnet,9964991,SUCCESS,,2025-11-30T09:04:54.474308+00:00,2025-11-30T09:04:54.474315+00:00
41,synthetic_market_18,testnet,4355515,SUCCESS,,2025-11-30T09:04:54.483300+00:00,2025-11-30T09:04:54.483307+00:00
42,0x062264088926,testnet,4976563,SUCCESS,,2025-11-30T09:04:54.489552+00:00,2025-11-30T09:04:54.489561+00:00
43,synthetic_market_4,testnet,9580441,SUCCESS,,2025-11-30T09:04:54.494385+00:00,2025-11-30T09:04:54.494401+00:00
45,0x01da190b779d,testnet,8584748,SUCCESS,,2025-11-30T09:04:54.508383+00:00,2025-11-30T09:04:54.508391+00:00
46,0x0b6056080e44,testnet,8893638,SUCCESS,,2025-11-30T09:04:54.518528+00:00,2025-11-30T09:04:54.518536+00:00
48,0x0c83fd0d0969,testnet,9712858,SUCCESS,,2025-11-30T09:04:54.528996+00:00,2025-11-30T09:04:54.529013+00:00
49,0x0ec90208e1b7,testnet,9568652,SUCCESS,,2025-11-30T09:04:54.535016+00:00,2025-11-30T09:04:54.535024+00:00
50,0x0223530342a4,testnet,5439416,SUCCESS,,2025-11-30T09:04:54.540565+00:00,2025-11-30T09:04:54.540573+00:00
51,0x0dc1c9082f46,testnet,9752301,SUCCESS,,2025-11-30T09:04:54.545885+00:00,2025-11-30T09:04:54.545896+00:00
52,0x083f8807c1ec,testnet,1947543,SUCCESS,,2025-11-30T09:04:54.552671+00:00,2025-11-30T09:04:54.552677+00:00
53,0x0be35603e8e2,testnet,7699199,SUCCESS,,2025-11-30T09:04:54.558619+00:00,2025-11-30T09:04:54.558647+00:00
54,synthetic_market_28,testnet,1630732,SUCCESS,,2025-11-30T09:04:54.567151+00:00,2025-11-30T09:04:54.567159+00:00
55,0x0da811055efd,testnet,7700831,SUCCESS,,2025-11-30T09:04:54.572462+00:00,2025-11-30T09:04:54.572469+00:00
56,0x0f368c07542f,testnet,7431063,SUCCESS,,2025-11-30T09:04:54.576382+00:00,2025-11-30T09:04:54.576416+00:00
57,0x0d1e860af592,testnet,5709083,SUCCESS,,2025-11-30T09:04:54.585461+00:00,2025-11-30T09:04:54.585468+00:00
59,0x09d02e08f56b,testnet,6765420,SUCCESS,,2025-11-30T09:04:54.600996+00:00,2025-11-30T09:04:54.601005+00:00
60,synthetic_market_15,testnet,2430344,SUCCESS,,2025-11-30T09:04:54.611664+00:00,2025-11-30T09:04:54.611674+00:00
61,0x055ac90ce1e5,testnet,5516577,SUCCESS,,2025-11-30T09:04:54.619445+00:00,2025-11-30T09:04:54.619452+00:00
62,0x080fe908bbe3,testnet,6401686,SUCCESS,,2025-11-30T09:04:54.625216+00:00,2025-11-30T09:04:54.625222+00:00
64,synthetic_market_0,testnet,2520384,SUCCESS,,2025-11-30T09:04:54.642282+00:00,2025-11-30T09:04:54.642289+00:00
66,0x09d44d0bf335,testnet,6830150,SUCCESS,,2025-11-30T09:04:54.655486+00:00,2025-11-30T09:04:54.655493+00:00
68,synthetic_market_11,testnet,6603345,SUCCESS,,2025-11-30T09:04:54.674417+00:00,2025-11-30T09:04:54.674424+00:00
69,synthetic_market_8,testnet,6685929,SUCCESS,,2025-11-30T09:04:54.682827+00:00,2025-11-30T09:04:54.682836+00:00
70,0x0522be0c58d8,testnet,6064530,SUCCESS,,2025-11-30T09:04:54.688036+00:00,2025-11-30T09:04:54.688044+00:00
71,0x0314b905485d,testnet,4197156,SUCCESS,,2025-11-30T09:04:54.697778+00:00,2025-11-30T09:04:54.697787+00:00
72,synthetic_market_2,testnet,9827798,SUCCESS,,2025-11-30T09:04:54.707887+00:00,2025-11-30T09:04:54.707895+00:00
73,0x04a3080d04f8,testnet,6918016,SUCCESS,,2025-11-30T09:04:54.713639+00:00,2025-11-30T09:04:54.713649+00:00
74,0x0376770e43f8,testnet,4674948,SUCCESS,,2025-11-30T09:04:54.721740+00:00,2025-11-30T09:04:54.721748+00:00
75,0x063fe301e07d,testnet,9461103,SUCCESS,,2025-11-30T09:04:54.725476+00:00,2025-11-30T09:04:54.725487+00:00
78,0x0750790b7cee,testnet,1812361,SUCCESS,,2025-11-30T09:04:54.748346+00:00,2025-11-30T09:04:54.748356+00:00
79,0x0d1101049b73,testnet,4328426,SUCCESS,,2025-11-30T09:04:54.758034+00:00,2025-11-30T09:04:54.758043+00:00
81,0x0b6f1e06e38e,testnet,5685898,SUCCESS,,2025-11-30T09:04:54.769655+00:00,2025-11-30T09:04:54.769662+00:00
82,0x01fd8207bf62,testnet,7019633,SUCCESS,,2025-11-30T09:04:54.779880+00:00,2025-11-30T09:04:54.779890+00:00
85,0x07612d0a04ff,testnet,3948162,SUCCESS,,2025-11-30T09:04:54.806228+00:00,2025-11-30T09:04:54.806238+00:00
86,0x0d75f90a5504,testnet,3138536,SUCCESS,,2025-11-30T09:04:54.813680+00:00,2025-11-30T09:04:54.813689+00:00
87,0x038a680e1e16,testnet,1928815,SUCCESS,,2025-11-30T09:04:54.820211+00:00,2025-11-30T09:04:54.820218+00:00
88,synthetic_market_16,testnet,7442318,SUCCESS,,2025-11-30T09:04:54.830069+00:00,2025-11-30T09:04:54.830079+00:00
90,synthetic_market_29,testnet,9470365,SUCCESS,,2025-11-30T09:04:54.847344+00:00,2025-11-30T09:04:54.847353+00:00
91,0x0aed51064ff5,testnet,8562847,SUCCESS,,2025-11-30T09:04:54.853606+00:00,2025-11-30T09:04:54.853612+00:00
92,0x0aeab80acdfd,testnet,7217963,SUCCESS,,2025-11-30T09:04:54.862736+00:00,2025-11-30T09:04:54.862746+00:00
93,0x0deb8e094307,testnet,3763786,SUCCESS,,2025-11-30T09:04:54.870199+00:00,2025-11-30T09:04:54.870207+00:00
94,0x05df9106e641,testnet,6460048,SUCCESS,,2025-11-30T09:04:54.874618+00:00,2025-11-30T09:04:54.874654+00:00
95,synthetic_market_17,testnet,6350327,SUCCESS,,2025-11-30T09:04:54.881701+00:00,2025-11-30T09:04:54.881708+00:00
96,0x0cd41e04f2f9,testnet,8098241,SUCCESS,,2025-11-30T09:04:54.889984+00:00,2025-11-30T09:04:54.889991+00:00
97,0x03575c08e8b7,testnet,1389586,SUCCESS,,2025-11-30T09:04:54.897651+00:00,2025-11-30T09:04:54.897661+00:00
99,0x0cab6c0a2b40,testnet,2428365,SUCCESS,,2025-11-30T09:04:54.913024+00:00,2025-11-30T09:04:54.913035+00:00
100,0x01eaab0243ea,testnet,3743597,SUCCESS,,2025-11-30T09:04:54.917032+00:00,2025-11-30T09:04:54.917038+00:00
101,synthetic_market_21,testnet,2791771,SUCCESS,,2025-11-30T09:04:54.925051+00:00,2025-11-30T09:04:54.925058+00:00
106,0x05124807ff0d,testnet,3489678,SUCCESS,,2025-11-30T09:04:54.958935+00:00,2025-11-30T09:04:54.958946+00:00
108,0x0abaa30aeb7b,testnet,8646918,SUCCESS,,2025-11-30T09:04:54.974686+00:00,2025-11-30T09:04:54.974695+00:00
109,0x025bf7072010,testnet,1046265,SUCCESS,,2025-11-30T09:04:54.986210+00:00,2025-11-30T09:04:54.986223+00:00
112,0x0e6e00063f86,testnet,3597905,SUCCESS,,2025-11-30T09:04:55.016161+00:00,2025-11-30T09:04:55.016175+00:00
113,0x08f4430cbe3c,testnet,2776375,SUCCESS,,2025-11-30T09:04:55.023548+00:00,2025-11-30T09:04:55.023557+00:00
115,0x0c79ec061fba,testnet,6444752,SUCCESS,,2025-11-30T09:04:55.042218+00:00,2025-11-30T09:04:55.042226+00:00
116,synthetic_market_23,testnet,9949757,SUCCESS,,2025-11-30T09:04:55.051164+00:00,2025-11-30T09:04:55.051172+00:00
117,synthetic_market_6,testnet,2881376,SUCCESS,,2025-11-30T09:04:55.056366+00:00,2025-11-30T09:04:55.056374+00:00
118,synthetic_market_3,testnet,9556101,SUCCESS,,2025-11-30T09:04:55.067181+00:00,2025-11-30T09:04:55.067190+00:00
120,0x0b7b630a1265,testnet,5476063,SUCCESS,,2025-11-30T09:04:55.081183+00:00,2025-11-30T09:04:55.081191+00:00
121,synthetic_market_20,testnet,5859631,SUCCESS,,2025-11-30T09:04:55.085404+00:00,2025-11-30T09:04:55.085412+00:00
122,0x0479c7025910,testnet,1879231,SUCCESS,,2025-11-30T09:04:55.094545+00:00,2025-11-30T09:04:55.094555+00:00
123,synthetic_market_27,testnet,3989912,SUCCESS,,2025-11-30T09:04:55.100559+00:00,2025-11-30T09:04:55.100569+00:00
126,0x07e6bd06c72f,testnet,6636435,SUCCESS,,2025-11-30T09:04:55.125230+00:00,2025-11-30T09:04:55.125236+00:00
128,synthetic_market_24,testnet,5093255,SUCCESS,,2025-11-30T09:04:55.145568+00:00,2025-11-30T09:04:55.145578+00:00
130,0x0a1057079b24,testnet,9475130,SUCCESS,,2025-11-30T09:04:55.164195+00:00,2025-11-30T09:04:55.164206+00:00
131,0x0dea7003e301,testnet,2600057,SUCCESS,,2025-11-30T09:04:55.170132+00:00,2025-11-30T09:04:55.170141+00:00
132,synthetic_market_22,testnet,7195497,SUCCESS,,2025-11-30T09:04:55.174193+00:00,2025-11-30T09:04:55.174200+00:00
133,0x061dd204e388,testnet,8261993,SUCCESS,,2025-11-30T09:04:55.182145+00:00,2025-11-30T09:04:55.182153+00:00
134,synthetic_market_25,testnet,4509438,SUCCESS,,2025-11-30T09:04:55.190133+00:00,2025-11-30T09:04:55.190140+00:00
