id,user_id,market_id,yes_tokens,no_tokens,total_staked,created_at,updated_at
5,57,26,0.0,0.0,42.62,2025-11-30T09:04:27.127333+00:00,2025-11-30T09:04:27.127373+00:00
6,57,17,21.35,0.0,44.76,2025-11-30T09:04:27.133285+00:00,2025-11-30T09:04:27.133296+00:00
7,57,18,0.0,42.47,29.45,2025-11-30T09:04:27.135763+00:00,2025-11-30T09:04:27.135773+00:00
8,57,16,0.0,42.53,26.48,2025-11-30T09:04:27.138484+00:00,2025-11-30T09:04:27.138494+00:00
9,57,38,26.36,0.0,37.04,2025-11-30T09:04:27.141084+00:00,2025-11-30T09:04:27.141092+00:00
10,57,42,0.0,0.0,25.85,2025-11-30T09:04:27.143213+00:00,2025-11-30T09:04:27.143284+00:00
11,57,32,31.95,0.0,21.6,2025-11-30T09:04:27.147736+00:00,2025-11-30T09:04:27.147747+00:00
12,57,34,0.0,0.0,49.16,2025-11-30T09:04:27.150138+00:00,2025-11-30T09:04:27.150146+00:00
13,57,33,0.0,0.0,22.65,2025-11-30T09:04:27.152342+00:00,2025-11-30T09:04:27.152351+00:00
14,57,39,0.0,0.0,63.33,2025-11-30T09:04:27.157708+00:00,2025-11-30T09:04:27.157717+00:00
15,57,30,0.0,14.31,8.23,2025-11-30T09:04:27.161558+00:00,2025-11-30T09:04:27.161580+00:00
16,57,22,0.0,0.0,12.33,2025-11-30T09:04:27.165576+00:00,2025-11-30T09:04:27.165587+00:00
17,57,29,0.0,102.57,42.15,2025-11-30T09:04:27.168294+00:00,2025-11-30T09:04:27.168303+00:00
18,57,28,0.0,0.0,21.37,2025-11-30T09:04:27.170174+00:00,2025-11-30T09:04:27.170181+00:00
19,58,42,0.0,0.0,1.29,2025-11-30T09:04:27.172070+00:00,2025-11-30T09:04:27.172077+00:00
20,58,28,0.0,90.1,89.22,2025-11-30T09:04:27.173832+00:00,2025-11-30T09:04:27.173838+00:00
21,58,36,0.0,63.16,42.18,2025-11-30T09:04:27.176072+00:00,2025-11-30T09:04:27.176078+00:00
22,58,33,91.71,0.0,32.49,2025-11-30T09:04:27.180369+00:00,2025-11-30T09:04:27.180379+00:00
23,58,27,0.0,53.52,23.28,2025-11-30T09:04:27.182913+00:00,2025-11-30T09:04:27.182920+00:00
24,58,17,125.16,0.0,47.53,2025-11-30T09:04:27.185068+00:00,2025-11-30T09:04:27.185074+00:00
25,58,19,0.0,73.94,28.63,2025-11-30T09:04:27.187159+00:00,2025-11-30T09:04:27.187166+00:00
26,58,20,140.63,0.0,48.27,2025-11-30T09:04:27.189482+00:00,2025-11-30T09:04:27.189491+00:00
27,58,44,0.0,0.0,47.13,2025-11-30T09:04:27.192059+00:00,2025-11-30T09:04:27.192067+00:00
28,58,22,0.0,0.0,60.14,2025-11-30T09:04:27.195683+00:00,2025-11-30T09:04:27.195694+00:00
29,58,16,0.0,0.0,33.41,2025-11-30T09:04:27.198916+00:00,2025-11-30T09:04:27.198925+00:00
30,58,41,0.0,0.0,42.73,2025-11-30T09:04:27.201391+00:00,2025-11-30T09:04:27.201400+00:00
31,58,26,0.0,0.0,14.7,2025-11-30T09:04:27.204008+00:00,2025-11-30T09:04:27.204018+00:00
32,58,21,73.23,0.0,36.28,2025-11-30T09:04:27.206815+00:00,2025-11-30T09:04:27.206825+00:00
33,58,35,0.0,0.0,39.85,2025-11-30T09:04:27.209593+00:00,2025-11-30T09:04:27.209605+00:00
34,58,24,0.0,0.0,28.12,2025-11-30T09:04:27.214564+00:00,2025-11-30T09:04:27.214573+00:00
35,58,37,0.0,0.0,19.25,2025-11-30T09:04:27.217573+00:00,2025-11-30T09:04:27.217582+00:00
36,58,38,23.5,0.0,11.6,2025-11-30T09:04:27.220031+00:00,2025-11-30T09:04:27.220039+00:00
37,58,34,0.0,99.88,41.8,2025-11-30T09:04:27.222297+00:00,2025-11-30T09:04:27.222305+00:00
38,59,18,0.0,0.0,45.17,2025-11-30T09:04:27.224415+00:00,2025-11-30T09:04:27.224421+00:00
39,59,30,152.14,86.5,105.03,2025-11-30T09:04:27.226868+00:00,2025-11-30T09:04:27.226878+00:00
