id,market_id,resolved_outcome,resolver,dispute_window,bond_amount,onchain_tx_hash,created_at
16,33,YES,57,2025-12-30T14:03:51.007615+00:00,36.01,0x0884810af88d,2025-12-30T13:03:51.007615+00:00
13,36,YES,57,2025-12-29T17:03:51.012215+00:00,81.94,0x056f0b0e3309,2025-12-29T16:03:51.012215+00:00
7,40,YES,57,2025-12-28T11:03:51.019568+00:00,99.05,0x0e059e0498fe,2025-12-28T10:03:51.019568+00:00
10,26,YES,57,2025-12-27T06:03:50.988429+00:00,16.25,0x071b40037736,2025-12-27T05:03:50.988429+00:00
2,35,YES,57,2025-12-26T22:03:51.010876+00:00,37.22,0x0c40300491d1,2025-12-26T21:03:51.010876+00:00
8,15,YES,57,2025-12-26T00:03:50.962763+00:00,19.55,0x01b87601b3f3,2025-12-25T23:03:50.962763+00:00
6,32,YES,57,2025-12-20T11:03:51.004370+00:00,81.49,0x0dc16b06a37f,2025-12-20T10:03:51.004370+00:00
4,23,YES,57,2025-12-18T12:03:50.982031+00:00,30.16,0x0cc7f408d6fb,2025-12-18T11:03:50.982031+00:00
9,17,YES,57,2025-12-15T17:03:50.971088+00:00,91.24,0x08b7c0020bea,2025-12-15T16:03:50.971088+00:00
15,39,YES,57,2025-12-14T14:03:51.016193+00:00,33.34,0x0ed27e0e9ff4,2025-12-14T13:03:51.016193+00:00
14,38,NO,57,2025-12-11T18:03:51.014776+00:00,19.09,0x08b3d80a4e59,2025-12-11T17:03:51.014776+00:00
3,16,NO,57,2025-12-09T16:03:50.965992+00:00,45.79,0x06d00606c79d,2025-12-09T15:03:50.965992+00:00
11,41,YES,57,2025-12-09T08:03:51.022691+00:00,85.48,0x0e735a047a4a,2025-12-09T07:03:51.022691+00:00
12,37,NO,57,2025-12-07T04:03:51.013420+00:00,43.69,0x05aeaf07d1f2,2025-12-07T03:03:51.013420+00:00
5,21,YES,57,2025-12-05T17:03:50.978744+00:00,83.6,0x0475b00d3fc0,2025-12-05T16:03:50.978744+00:00
