id,user_id,market_id,outcome_type,trade_type,amount_staked,tokens_amount,price_at_execution,onchain_trade_id,onchain_tx_hash,created_at
9518,343,43,YES,buy,5.69,9.22,0.617188,704744,0x08a6ee02814c,2025-12-01T00:44:53.699582+00:00
9517,343,24,NO,buy,27.48,72.52,0.378937,682598,0x0bbbaa05fa91,2025-12-01T00:14:51.699582+00:00
9516,343,21,NO,buy,19.25,35.01,0.549838,884372,0x02b7d408b64c,2025-11-30T23:37:36.699582+00:00
11367,443,41,YES,buy,18.41,33.2,0.554495,609407,0x0d269f02c62a,2025-11-30T23:35:45.772966+00:00
11366,443,18,NO,buy,13.51,44.56,0.303211,861836,0x03063a0d26f2,2025-11-30T23:18:43.772966+00:00
8356,285,19,YES,sell,41.37,115.03,0.359638,785179,0x067fba0640b2,2025-11-30T23:08:11.251341+00:00
4166,64,39,NO,sell,31.96,51.17,0.624599,814894,0x0289150cfb8b,2025-11-30T22:59:21.573924+00:00
9515,343,32,YES,buy,19.41,60.35,0.321634,850040,0x01a1580b66f7,2025-11-30T22:56:45.699582+00:00
8355,285,42,NO,buy,21.43,35.31,0.606898,549068,0x065581098fea,2025-11-30T22:31:38.251341+00:00
11365,443,15,YES,buy,12.7,20.05,0.633406,177697,0x0c85990bbca0,2025-11-30T22:29:18.772966+00:00
9428,338,30,NO,buy,43.5,92.74,0.469061,979089,0x07db3f083863,2025-11-30T22:12:04.349984+00:00
9514,343,31,YES,sell,31.28,89.48,0.349558,856384,0x034fc308505b,2025-11-30T22:06:02.699582+00:00
4165,64,39,NO,buy,3.17,6.11,0.518405,184594,0x0e8ac10bcf84,2025-11-30T22:02:30.573924+00:00
7394,237,16,NO,sell,42.59,73.85,0.576696,99498,0x08adae090a50,2025-11-30T21:58:28.699723+00:00
9268,329,34,NO,sell,11.47,23.17,0.494966,421508,0x08494403ba65,2025-11-30T21:57:20.737607+00:00
9267,329,32,NO,sell,9.47,13.9,0.681142,55168,0x06d7440b9c99,2025-11-30T21:51:13.737607+00:00
13261,540,27,NO,buy,28.63,44.47,0.643753,532932,0x0c8c16047898,2025-11-30T21:49:18.607519+00:00
6627,198,23,YES,sell,16.16,38.27,0.422238,878469,0x03a9b50eebae,2025-11-30T21:45:57.770022+00:00
10158,379,32,YES,sell,1.13,1.85,0.611439,770501,0x038e5c08cb9d,2025-11-30T21:43:43.240051+00:00
8354,285,39,NO,buy,34.28,77.09,0.444649,296950,0x0919f608c09e,2025-11-30T21:38:29.251341+00:00
11364,443,30,YES,sell,32.3,106.85,0.302306,30643,0x0e344c028545,2025-11-30T21:37:50.772966+00:00
9513,343,33,YES,buy,24.52,35.35,0.693592,921624,0x072d920a83fd,2025-11-30T21:35:52.699582+00:00
13260,540,33,NO,buy,31.66,76.52,0.41375,451490,0x07861d0277d4,2025-11-30T21:34:56.607519+00:00
4142,63,31,YES,sell,19.27,46.64,0.413157,355803,0x0810f10dead5,2025-11-30T21:32:42.491714+00:00
11363,443,42,YES,sell,4.24,9.99,0.424361,275424,0x08ce520da2b6,2025-11-30T21:30:28.772966+00:00
9427,338,15,NO,buy,35.75,54.69,0.65371,592744,0x028dfa021edf,2025-11-30T21:30:09.349984+00:00
6672,201,32,NO,buy,41.45,59.94,0.691499,941785,0x0c2a530f0a65,2025-11-30T21:29:37.925906+00:00
6626,198,30,NO,sell,44.79,131.12,0.341592,557624,0x0ad9f9034819,2025-11-30T21:23:29.770022+00:00
6671,201,18,NO,buy,1.85,2.69,0.687296,308006,0x073eaf07b96d,2025-11-30T21:22:50.925906+00:00
9512,343,42,NO,buy,47.12,78.17,0.602757,320193,0x0d09db0abbf5,2025-11-30T21:21:34.699582+00:00
4049,58,37,YES,sell,3.23,10.04,0.32181,990949,0x0633370caf3f,2025-11-30T21:16:45.120420+00:00
4048,58,34,NO,buy,41.8,99.88,0.418499,317950,0x074ccb04659e,2025-11-30T21:15:38.120420+00:00
9907,364,44,NO,buy,40.76,70.87,0.575171,213995,0x0b059d0597da,2025-11-30T21:14:09.253548+00:00
4164,64,26,YES,sell,12.82,22.78,0.562842,611169,0x032f3b0ddeb1,2025-11-30T21:12:09.573924+00:00
7393,237,19,NO,buy,10.48,18.38,0.570054,932605,0x0958fe04fdd8,2025-11-30T21:12:02.699723+00:00
4163,64,15,NO,sell,3.13,6.88,0.454753,784618,0x077fab059593,2025-11-30T21:10:53.573924+00:00
8421,289,38,YES,sell,40.76,130.78,0.31167,220185,0x05118608dd0a,2025-11-30T21:06:30.489641+00:00
5181,121,36,NO,sell,30.02,74.38,0.403624,748868,0x0c832d09be30,2025-11-30T21:05:23.491061+00:00
10157,379,27,YES,buy,18.95,57.84,0.327638,72053,0x0f25390caccc,2025-11-30T21:04:04.240051+00:00
4141,63,43,NO,buy,25.72,69.7,0.369024,460022,0x057d620cd90b,2025-11-30T21:02:33.491714+00:00
9266,329,25,NO,sell,48.93,91.58,0.53431,121340,0x0ccb49028f67,2025-11-30T21:02:26.737607+00:00
11362,443,29,YES,buy,1.33,3.21,0.413796,961920,0x0451690260d1,2025-11-30T20:56:46.772966+00:00
8353,285,19,NO,buy,48.7,111.31,0.437521,810874,0x08efbe09d5c0,2025-11-30T20:56:14.251341+00:00
6670,201,16,YES,buy,3.25,7.42,0.437965,712799,0x07c59c0daea6,2025-11-30T20:55:09.925906+00:00
5802,151,28,YES,sell,42.71,113.35,0.376809,949206,0x06028309da50,2025-11-30T20:55:03.782167+00:00
6669,201,42,YES,buy,8.32,12.16,0.684053,960655,0x0e238307746e,2025-11-30T20:54:07.925906+00:00
8467,291,44,NO,sell,39.41,72.91,0.540534,980533,0x0e531c0de73f,2025-11-30T20:52:14.664216+00:00
6625,198,26,NO,buy,35.85,69.57,0.515331,438420,0x087e300a388e,2025-11-30T20:46:45.770022+00:00
8420,289,33,YES,buy,36.36,104.38,0.348346,399222,0x080a080b23a5,2025-11-30T20:45:40.489641+00:00
9426,338,24,YES,buy,16.83,34.21,0.492027,521533,0x0b57b90ad63a,2025-11-30T20:45:31.349984+00:00
9906,364,35,YES,sell,36.23,82.33,0.440037,331443,0x090dac04a89e,2025-11-30T20:45:00.253548+00:00
6624,198,20,YES,buy,9.66,26.78,0.360736,821102,0x0ec989044ace,2025-11-30T20:41:23.770022+00:00
4047,58,38,YES,buy,11.6,23.5,0.493679,798135,0x0d1e860af592,2025-11-30T20:39:40.120420+00:00
